version;filename;loc;loc_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java;101;101;1;_;0;101;101;101
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java;80;80;1;_;0;80;80;80
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java;213;213;1;_;0;213;213;213
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java;182;182;1;_;0;182;182;182
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/HasContainsExpressionVisitor.java;30;30;1;_;0;30;30;30
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java;175;175;1;_;0;175;175;175
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InKeyExpression.java;44;44;1;_;0;44;44;44
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java;79;79;1;_;0;79;79;79
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java;44;44;1;_;0;44;44;44
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java;165;165;1;_;0;165;165;165
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java;153;153;1;_;0;153;153;153
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsEmptyExpression.java;71;71;1;_;0;71;71;71
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java;71;71;1;_;0;71;71;71
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java;42;42;1;_;0;42;42;42
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java;449;449;1;_;0;449;449;449
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java;44;44;1;_;0;44;44;44
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCPath.java;29;29;1;_;0;29;29;29
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCStringContains.java;53;53;1;_;0;53;53;53
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCWildcardMatch.java;58;58;1;_;0;58;58;58
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java;87;87;1;_;0;87;87;87
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MatchesExpression.java;133;133;1;_;0;133;133;133
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java;166;166;1;_;0;166;166;166
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Max.java;41;41;1;_;0;41;41;41
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Min.java;41;41;1;_;0;41;41;41
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression.java;85;85;1;_;0;85;85;85
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotEqualExpression.java;76;76;1;_;0;76;76;76
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotExpression.java;72;72;1;_;0;72;72;72
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java;53;53;1;_;0;53;53;53
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression.java;107;107;1;_;0;107;107;107
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java;680;680;1;_;0;680;680;680
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java;117;117;1;_;0;117;117;117
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLEmbed.java;68;68;1;_;0;68;68;68
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLExpression.java;38;38;1;_;0;38;38;38
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLValue.java;36;36;1;_;0;36;36;36
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java;344;344;1;_;0;344;344;344
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Size.java;57;57;1;_;0;57;57;57
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sqrt.java;41;41;1;_;0;41;41;41
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java;266;266;1;_;0;266;266;266
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java;140;140;1;_;0;140;140;140
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringLength.java;61;61;1;_;0;61;61;61
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java;222;222;1;_;0;222;222;222
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java;160;160;1;_;0;160;160;160
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sum.java;51;51;1;_;0;51;51;51
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java;49;49;1;_;0;49;49;49
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToUpperCase.java;49;49;1;_;0;49;49;49
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java;199;199;1;_;0;199;199;199
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/UnaryOp.java;166;166;1;_;0;166;166;166
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java;156;156;1;_;0;156;156;156
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java;192;192;1;_;0;192;192;192
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java;957;957;1;_;0;957;957;957
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java;341;341;1;_;0;341;341;341
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassStrategy.java;112;112;1;_;0;112;112;112
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DelegatingJoinable.java;125;125;1;_;0;125;125;125
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Discriminator.java;411;411;1;_;0;411;411;411
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java;173;173;1;_;0;173;173;173
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorStrategy.java;69;69;1;_;0;69;69;69
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Embeddable.java;82;82;1;_;0;82;82;82
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java;1010;1010;1;_;0;1010;1010;1010
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo.java;329;329;1;_;0;329;329;329
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldStrategy.java;244;244;1;_;0;244;244;244
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java;84;84;1;_;0;84;84;84
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCOrder.java;43;43;1;_;0;43;43;43
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java;69;69;1;_;0;69;69;69
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCValueOrder.java;64;64;1;_;0;64;64;64
